股票代码,股票名称,当前价,涨跌额,涨跌幅/%,年初至今/%,成交量,成交额,换手率/%,市盈率TTM,股息率/%,市值
SH601012,隆基股份,80.14,-2.55,-3.08,224.79,36258451,2891262852,0.96,40.919,0.475,302274243909
SH600196,复星医药,59.5,0.65,1.1,125.25,35637515,2107578958,1.77,43.312,0.662,152492463428
SH600519,贵州茅台,1733.95,-5.05,-0.29,48.29,877803,1528522613,0.07,49.665,0.978,2178184175310
SH600438,通威股份,31.4,0.31,1,142.57,41095815,1296714859,0.96,61.358,0.598,134638668478
SH601318,中国平安,80.72,-0.66,-0.81,-2.87,15721088,1271995459,0.15,12.256,2.591,1475581086615
SH600211,西藏药业,93.49,4.85,5.47,320.72,12374643,1125068343,4.99,61.515,0.854,23179708942
SH600760,中航沈飞,64.32,2.06,3.31,104.5,14649259,951143182,3.68,69.567,0.241,90073038811
SH600109,国金证券,15.29,-0.44,-2.8,65.17,60558570,927248711,2,27.471,0.324,46242453850
SH601888,中国中免,210.33,-3.77,-1.76,137.36,4347999,917362839,0.22,180.884,0.343,410664181170
SH600030,中信证券,31.04,-0.31,-0.99,24.64,27977840,872636001,0.29,27.262,1.595,401247127940
SH601216,君正集团,7.84,-0.27,-3.33,183.69,102366954,800895558,1.21,27.755,4.408,66154056338
SH601456,国联证券,17.73,-0.75,-4.06,317.18,44066358,789495775,9.26,86.661,0,42164049870
SH600585,海螺水泥,55.31,-1.14,-2.02,4.67,13894268,771372239,0.35,8.521,3.543,293104425644
SH600745,闻泰科技,118.24,-2.08,-1.73,27.95,6410272,754535355,1.01,53.339,0.113,147201437313
SH600166,福田汽车,3.07,0.04,1.32,46.89,232658375,725597028,3.54,166.725,0,20185839584
SH600511,国药股份,47.28,0.87,1.87,76.04,14293783,670242533,2.58,24.292,1.376,35672901745
SH600031,三一重工,28,0.35,1.27,67.29,23913255,665166295,0.28,18.359,1.523,237320026692
SH603976,正川股份,77.88,1.45,1.9,349.6,8282967,635192338,5.48,183.58,0.424,11775456000
SH600276,恒瑞医药,93.72,0.02,0.02,28.81,6364213,594679984,0.12,89.19,0.205,497348641959
SH600887,伊利股份,41.89,0.41,0.99,39.07,14078296,589733045,0.24,36.975,1.947,254825743684
SH600316,洪都航空,40.81,-0.41,-0.99,213.39,13612735,567579364,1.9,202.532,0.036,29265443235
