index,id,community,district,bizcircle,tagList,onsale
0,1111000004310,什坊院甲3号院,海淀,田村,,0
1,1111027373682,大慧寺6号院,海淀,白石桥,,2
2,1111027373683,东花市北里东区,东城,东花市,近地铁1号线王府井站,0
3,1111027373684,东花市北里西区,东城,东花市,近地铁7号线广渠门内站,7
4,1111027373685,东花市北里中区,东城,东花市,近地铁2号线朝阳门站,9
5,1111027373686,东恒时代二期,朝阳,四惠,近地铁1号线四惠站,23
6,1111027373688,东花市大街,东城,东花市,近地铁7号线广渠门内站,0
7,1111027373689,东花市大街2号院,东城,东花市,近地铁7号线广渠门内站,1
8,1111027373690,东恒时代三期,朝阳,十里堡,近地铁1号线四惠站,23
9,1111027373691,东恒时代一期,朝阳,四惠,近地铁1号线四惠站,9
10,1111027373692,大湖山庄,朝阳,中央别墅区,,0
11,1111027373693,东花厅胡同,东城,金宝街,近地铁5号线灯市口站,0
12,1111027373694,东湖湾二期,朝阳,望京,近地铁14号线(东段)东湖渠站,15
13,1111027373695,东湖湾一期,朝阳,望京,近地铁14号线(东段)东湖渠站,2
14,1111027373696,东会新村,朝阳,双桥,近地铁八通线管庄站,0
15,1111027373697,定慧西里,海淀,定慧寺,近地铁6号线海淀五路居站,7
16,1111027373698,东河沿,东城,崇文门,近地铁5号线崇文门站,0
17,1111027373705,大河庄苑,海淀,苏州桥,近地铁10号线苏州街站,10
18,1111027373708,电建北院,朝阳,定福庄,近地铁八通线传媒大学站,5
19,1111027373709,道家村,朝阳,甜水园,近地铁6号线金台路站,1
20,1111027373710,大经厂胡同,东城,地安门,,0
21,1111027373711,大件厂宿舍,海淀,公主坟,近地铁1号线万寿路站,1
22,1111027373712,大经厂西巷,东城,地安门,近地铁5号线北新桥站,0
23,1111027373715,大酱坊胡同,西城,西单,近地铁1号线天安门东站,0
24,1111027373717,定居胡同,西城,宣武门,近地铁4号线菜市口站,0
25,1111027373718,戴家胡同,东城,崇文门,近地铁5号线崇文门站,0
26,1111027373719,大江胡同,东城,崇文门,近地铁7号线珠市口站,0
27,1111027373720,豆角胡同,东城,地安门,,0
28,1111027373721,大菊胡同,东城,东四,近地铁2号线东直门站,1
29,1111027373722,大井胡同,西城,六铺炕,近地铁8号线安德里北街站,7
30,1111027373723,大觉胡同,西城,西四,近地铁4号线平安里站,0
31,1111027373726,东经路,西城,陶然亭,近地铁7号线珠市口站,0
32,1111027373728,东经路19号院,西城,陶然亭,,0
33,1111027373729,东经路98号,西城,陶然亭,,1
34,1111027373731,东交民巷30号院,东城,前门,近地铁2号线宣武门站,0
35,1111027373732,东交民巷11号院,东城,前门,近地铁5号线崇文门站,0
36,1111027373733,东交民巷32号院,东城,前门,近地铁2号线前门站,1
