投诉日期,投诉编号,投诉问题,投诉诉求,详细说明,投诉对象
2020-11-14,17351329298,蛋壳停止提供服务仍然收取服务费等,退款,根据与贵司签订的《房屋租赁代理合同服务订单》，贵司提供保洁服务（每自然月两次）等服务。但从9月起，每月两次变为每月一次再变为每月0次，在催告后仍未履行，现与贵司管家确认，已停止保洁。加之了解到贵司现面临债务危机和破产风险，现要求贵司在恢复服务前不再收取服务费，水电燃气费改为由租户自行缴纳，并且提供...,紫梧桐
2020-11-16,17351342783,南京紫梧桐公寓管理有限公司未履行合同义务合约未到期房东上门收房,"退款,赔偿","2020年6月29日,我与南京蛋壳公寓(南京紫梧桐公寓管理有限公司),签署为期一年的房租租赁合同,共缴纳21624+1770(押金)元.
2020年11月14日下午2点左右,房东上门通知要求收回房子,沟通得知原因为蛋壳公寓已经拖欠两个月房租,南京紫梧桐公寓管理有限公司已经严重逾期,故要求收回房子.
从11月14日起便于蛋壳公寓(南京紫梧桐公...",紫梧桐
2020-10-20,17351103488,活动返现未退款,退款,本人与此公司紫梧桐（北京）资产管理有限公司签订租房合同享有返现活动，此公司承诺14个工作日返现金额292.5元，9月23他们进行返现，至今已有17个工作日，紫梧桐（北京）资产管理有限公司尚未打款，希望可以帮忙解决且可以对此紫梧桐（北京）资产管理有限公司作出相应的处罚及赔偿,紫梧桐
2020-11-11,17351295577,活动返现超时交了服务费没有清洁人员打扫卫生,"退款,赔偿",本人与此公司紫梧桐（北京）资产管理有限公司签订租房合同享有返现活动，此公司承诺14个工作日返现金额292.5元，9月23他们进行返现，至今已有17个工作日，紫梧桐（北京）资产管理有限公司尚未打款，希望可以帮忙解决且可以对此紫梧桐（北京）资产管理有限公司作出相应的处罚及赔偿,紫梧桐
2020-11-16,17351343825,紫梧桐上海公寓管理有限公司单方面违约,履行合同,紫梧桐在租户未拖欠租金及其他费用情况下，拒不履行合同承诺服务，拖欠房东租金，致使房东要求收回房屋，断网，并威胁断水断电。要求房东及紫梧桐履行合同,紫梧桐
2020-11-11,17351291723,紫梧桐北京资产管理有限公司拖欠退款蛋壳公寓拖欠退款,"退款,赔偿,道歉,解释",本人与此公司紫梧桐（北京）资产管理有限公司2020年10月6号结束房屋租赁合同，此公司承诺14个工作日退款押金2470.21元，10月9日我进行提现操作，至今已有24个工作日，紫梧桐（北京）资产管理有限公司尚未打款，期间多次联系蛋壳公寓客服，只收到对方会反馈问题，但是没有丝毫结果，也没有工作人员主动联系解释问题，希望...,紫梧桐
2020-10-20,17351099657,紫梧桐北京资产管理有限公司拖欠退款,"退款,作出处罚",本人与此公司紫梧桐（北京）资产管理有限公司2020年9月17号结束房屋租赁合同，此公司承诺14个工作日退款押金2122.19元，9月21我进行体现操作，至今已有17个工作日，紫梧桐（北京）资产管理有限公司尚未打款，希望可以帮忙解决且可以对此紫梧桐（北京）资产管理有限公司作出相应的处罚及赔偿拖欠款项。谢谢,紫梧桐
2020-11-11,17351295737,蛋壳公寓对房屋业主违约,"退款,赔偿,道歉,作出处罚,解释",在紫梧桐（北京）资产管理有限公司，即蛋壳公寓已支付了半年房租，至11月27号半年期满，却在11月10日晚收到房屋业主告示，已上传附件里，但是蛋壳官方电话打了一天一直没人接，客服在线也没人员处理，故决定通过投诉来维护本人的合法权益，希望紫梧桐及蛋壳公寓能出面解决问题,紫梧桐
2020-10-28,17351168276,蛋壳公寓逾期未退押金,退款,押金退回已经逾期好几天了，打给客服也没用，解决不了问题，管理公司是南京紫梧桐公寓管理有限公司,紫梧桐
2020-10-17,17351078427,蛋壳公寓平台编造不当理由拖欠租房押金,退款,紫梧桐（北京）资产管理有限公司旗下蛋壳公寓租房合同如约到期后拖欠租房押金不退款。,紫梧桐
2020-11-06,17351244627,蛋壳恶意断网单方面取消工单客服态度恶劣消极不回应,"退款,立刻解决网络问题,赔偿",紫梧桐（天津）公寓管理有限公司即蛋壳公寓天津分公司无理由停掉租客房屋宽带网络,紫梧桐
2020-11-06,17351241514,蛋壳公寓拖欠租客押金,退款,本人于2019年10月13日与紫梧桐（北京）资产管理有限公司签订房屋租赁合同（合同号JGYCBJE19091953***），租了北京市通州区东方华业玫瑰小区B区51号楼1单元1505室，本人于2020年10月12日退租，并于当日提现。按照合同约定，紫梧桐（北京）资产管理有限公司应于提现后14工作日内退还押金，然而并没有退还。本人于2020年11...,紫梧桐
2020-11-10,17351278307,退房之后拖欠剩余房租,"退款,道歉,作出处罚",投诉蛋壳公寓“紫梧桐（北京）资产管理有限公司”。本人10月3日退租，10月10日发起提现，本应10月29日打款剩余房租7431元，已经逾期15天以上仍然拒不打款。反馈无果。,紫梧桐
2020-10-31,17351189355,上海蛋壳公寓退租后余额返还超过约定14个工作日退款至今未到账,退款,"投诉对象:蛋壳公寓，紫梧桐（上海）公寓管理有限公司
本人年付租房，9月退租后，9.28申请退还剩余房租约1万3千元，至今已超过14个工作日的约定退款时间",紫梧桐
2020-11-13,17351321444,蛋壳侵犯租户权益,解除贷款合同退回押金,蛋壳公寓（紫梧桐(北京)资产管理有限公司）因不支付业主租金，导致业主换门锁撵人，还要继续偿还第三方（微众银行）贷款,紫梧桐
2020-11-14,17351325661,蛋壳平台提现受阻多次推诿不予退款,"退款,赔偿,作出处罚",本人与此公司紫梧桐（北京）资产管理有限公司2020年10月9号结束房屋租赁合同，此公司承诺14个工作日退还押金2500元，10月9日下午我进行提现操作，至今已有35个工作日，紫梧桐（北京）资产管理有限公司一直都未打款也没有专人出来说明原因，期间多次联系蛋壳公寓退租服务人员，只收到对方会反馈问题多次推诿扯皮，但是没...,紫梧桐
2020-11-08,17351261704,紫梧桐北京资产管理有限公司蛋壳公寓逾期拖欠房租,"作出处罚,改善服务,支付房租或解除合同","紫梧桐（北京）资产管理有限公司
，蛋壳公寓无故拖欠房租，客服无任何解释说明，不与房东做任何主动联系，沟通！已经构成实质违约。",紫梧桐
2020-10-17,17351075647,宣传返现活动达到让用户续租的目的但不按时返现,"道歉,解释,补发赠品",紫梧桐旗下的蛋壳公寓，宣传返现活动达到让用户续租的目的，但不按时返现，联系客服之后，等待了一天也没有人员处理，属于虚假宣传，并且违约，望处理！,紫梧桐
2020-10-23,17351125001,蛋壳公寓违反合同未按合同支付业主房租,"作出处罚,道歉,履行合同",蛋壳公寓/紫梧桐（北京）资产管理有限公司/110105018525***，未按照合同约定支付租金。我的房屋当时蛋壳收房价格低，利润空间留的高，是蛋壳一直盈利的优质资产，没有理由违约，不履行合同。我现在需要资金救急。,紫梧桐
