u_index,tag_id,weight
0.0,3.0,4.0
0.0,21.0,5.0
0.0,10.0,1.0
1.0,3.0,5.0
1.0,10.0,2.0
1.0,21.0,4.0
1.0,25.0,2.0
1.0,16.0,2.0
1.0,2.0,1.0
1.0,5.0,1.0
2.0,3.0,6.0
2.0,10.0,4.0
2.0,21.0,4.0
2.0,5.0,5.0
2.0,11.0,6.0
2.0,2.0,2.0
2.0,0.0,1.0
2.0,9.0,1.0
3.0,23.0,3.0
3.0,10.0,3.0
3.0,25.0,1.0
3.0,8.0,1.0
3.0,21.0,2.0
3.0,3.0,1.0
3.0,24.0,1.0
4.0,4.0,3.0
4.0,11.0,3.0
4.0,2.0,6.0
4.0,14.0,1.0
4.0,16.0,1.0
4.0,25.0,2.0
4.0,5.0,3.0
4.0,3.0,5.0
4.0,12.0,2.0
4.0,10.0,3.0
4.0,0.0,1.0
5.0,10.0,2.0
5.0,11.0,6.0
5.0,19.0,3.0
5.0,4.0,3.0
5.0,25.0,3.0
5.0,21.0,1.0
6.0,3.0,5.0
6.0,4.0,11.0
6.0,22.0,3.0
6.0,2.0,6.0
6.0,14.0,2.0
6.0,16.0,1.0
6.0,25.0,5.0
7.0,5.0,3.0
7.0,4.0,1.0
7.0,22.0,2.0
7.0,3.0,8.0
7.0,14.0,1.0
7.0,0.0,1.0
7.0,11.0,3.0
7.0,2.0,1.0
7.0,21.0,4.0
7.0,10.0,2.0
8.0,10.0,2.0
8.0,4.0,2.0
9.0,3.0,3.0
9.0,0.0,3.0
9.0,17.0,2.0
9.0,10.0,1.0
10.0,3.0,5.0
10.0,10.0,3.0
10.0,22.0,3.0
10.0,4.0,5.0
10.0,14.0,2.0
10.0,21.0,1.0
10.0,11.0,1.0
10.0,8.0,1.0
11.0,3.0,11.0
11.0,10.0,2.0
11.0,0.0,3.0
11.0,25.0,2.0
11.0,14.0,3.0
11.0,16.0,3.0
11.0,9.0,2.0
11.0,30.0,1.0
11.0,4.0,1.0
11.0,2.0,1.0
12.0,3.0,4.0
12.0,10.0,2.0
12.0,21.0,2.0
